hotelname,location,description,rating,location_splitted,city
Boutique Hôtel des Remparts & Spa,"Aigues-Mortes Medieval City, Aigues-Mortes","Aménagé dans une ancienne base militaire datant du XVIIIe siècle, au sein des remparts médiévaux d'Aigues-Mortes, le Boutique Hôtel des Rempart..",9.5,Aigues-Mortes,Aigues Mortes
Alex Hotel & Spa,"Saint-Charles, Marseille","L'Alex Hotel & Spa est situé à Marseille, à 15 minutes à pied du vieux port et à 200 mètres de la station de métro Saint-Charles. ",8.3,Marseille,Marseille
Mama Shelter Marseille,"Baille-La Timone, Marseille",Le Mama Shelter Marseille est un hôtel moderne à la décoration unique proposant des chambres dotées d'une connexion Wi-Fi gratuite et d'une tél..,8.1,Marseille,Marseille
Hotel Belle-Vue Vieux-Port,"Vieux Port - La Canebière, Marseille","Situé sur le Vieux-Port de Marseille, l'Hotel Belle-Vue Vieux-Port est un établissement respectueux de l'environnement offrant une vue sur la c..",8.0,Marseille,Marseille
Hôtel Maison Montgrand - Vieux Port,"Vieux Port - La Canebière, Marseille","Doté d'une terrasse spacieuse, d'un terrain de pétanque et d'un magasin de concept, l'Hôtel Maison Montgrand - Vieux Port vous propose 49 chamb..",8.0,Marseille,Marseille
La Villa Mazarin,"Aigues-Mortes Medieval City, Aigues-Mortes",La Villa Mazarin est construite dans un bâtiment datant du XVème siècle situé dans la ville fortifiée d'Aigues-Mortes et propose une terrasse a..,9.1,Aigues-Mortes,Aigues Mortes
Hotel Les Templiers,"Aigues-Mortes Medieval City, Aigues-Mortes","Aménagé au sein d'une maison de marchand datant du XVIIIe siècle, l'Hotel Les Templiers se situe dans la ville fortifiée d'Aigues-Mortes, dans ..",8.6,Aigues-Mortes,Aigues Mortes
La Maison de Lyna,"Aigues-Mortes Medieval City, Aigues-Mortes","Situé à Aigues-Mortes, en Occitanie, l'établissement La Maison de Lyna propose des hébergements avec connexion Wi-Fi gratuite. ",9.1,Aigues-Mortes,Aigues Mortes
Hôtel Saint Louis,"Aigues-Mortes Medieval City, Aigues-Mortes","Situé dans le cœur historique d'Aigues-Mortes, à 200 mètres de la Tour de Constance, l'Hôtel Saint Louis est un hôtel climatisé doté d'un centr..",8.4,Aigues-Mortes,Aigues Mortes
Hotel Canal Aigues Mortes,Aigues-Mortes,"L’hôtel Canal Aigues Mortes vous accueille sur les rives du canal, à 5 minutes à pied de la ville fortifiée. Vous pourrez profiter d’une vue su..",8.5,Aigues-Mortes,Aigues Mortes
Hotel Des 4 Vents,Aigues-Mortes,"L'Hotel Des 4 vents est situé à Aigues-Mortes, sur la côte méditerranéenne, à 40 km de Nîmes et à 35 km de Montpellier. ",8.3,Aigues-Mortes,Aigues Mortes
La Mirande,"Centre-ville d'Avignon, Avignon","L'établissement La Mirande, datant de 1309, est un hôtel situé dans le centre-ville d'Avignon. ",8.8,Avignon,Avignon
Hotel De Cambis,"Centre-ville d'Avignon, Avignon","Situé à Avignon, à 600 mètres de la gare centrale, l'Hotel De Cambis dispose d'un bar et offre une vue sur la ville. ",8.7,Avignon,Avignon
COWOOL AVIGNON,Avignon,"Offrant une vue sur son jardin, le COWOOL AVIGNON est situé à Avignon. Il propose une salle de sport, un salon commun et un jardin. ",8.8,Avignon,Avignon
Mercure Avignon Gare TGV,Avignon,"Le Mercure Avignon Gare TGV vous accueille à Avignon, à 5 minutes en voiture du centre-ville et de la gare. Le palais des Papes vous attend à 8..",8.6,Avignon,Avignon
Hotel d'Europe,"Centre-ville d'Avignon, Avignon","Installé dans le cœur d'Avignon, l'Hôtel d'Europe vous accueille dans un bâtiment datant du XVIe siècle, à seulement 5 minutes à pied du Palais..",8.5,Avignon,Avignon
Garlande Hôtel Avignon Centre,"Centre-ville d'Avignon, Avignon","Doté d’une connexion Wi-Fi gratuite, le Garlande Hôtel Avignon Centre propose des hébergements installés sur une rue piétonne d’Avignon, à 500 ..",8.8,Avignon,Avignon
Best Western Plus Le Lavarin,Avignon,"Le Best Western Plus Le Lavarin vous accueille à Avignon, à 2,5 km des remparts, du palais des papes et du pont d'Avignon. Il possède une salle..",8.3,Avignon,Avignon
Avignon Grand Hotel,Avignon,"Doté d'une petite piscine sur le toit, l'Avignon Grand Hotel bénéficie d'un emplacement idéal à proximité directe des remparts médiévaux d'Avig..",8.2,Avignon,Avignon
Hôtel de l'Horloge,"Centre-ville d'Avignon, Avignon","L'Hôtel de l'Horloge occupe un bâtiment du XIXème siècle donnant sur la pittoresque place de l'horloge, dans le centre d'Avignon. Il propose de..",8.2,Avignon,Avignon
Le Magnan,"Centre-ville d'Avignon, Avignon","Situé dans un cadre verdoyant au sein des anciens remparts de la ville, Le Magnan propose une connexion Wi-Fi gratuite. Il se trouve à 10 minut..",8.3,Avignon,Avignon
Régina Boutique Hotel,"Centre-ville d'Avignon, Avignon","Le Régina Boutique Hotel est situé dans la rue principale d'Avignon, à seulement 5 minutes à pied du Palais des Papes. ",8.5,Avignon,Avignon
Kyriad Avignon - Palais des Papes,"Centre-ville d'Avignon, Avignon","Le Kyriad Avignon - Palais des Papes vous accueille sur la place de l'Horloge, dans la zone piétonne du centre historique d'Avignon. ",8.1,Avignon,Avignon
Hôtel Le Bristol,"Centre-ville d'Avignon, Avignon","Idéalement situé à l’intérieur des remparts du centre d’Avignon, l’Hôtel Le Bristol vous propose des chambres climatisées, un bar, une connexio..",8.0,Avignon,Avignon
Hôtel Central,"Centre-ville d'Avignon, Avignon","Situé au cœur de la vieille ville d'Avignon, l'Hôtel Central propose des chambres confortables avec une connexion Wi-Fi gratuite. Un jardin et ..",8.0,Avignon,Avignon
LE PETIT PALAIS Maisonnette,Avignon,Hébergement géré par un particulier,8.2,Avignon,Avignon
Hotel De L'Atelier,Villeneuve-lès-Avignon,L'Hotel De L'Atelier occupe un bâtiment du XVIe siècle à Villeneuve-lès-Avignon. Il propose une terrasse bien exposée et une connexion Wi-Fi gr..,9.2,Villeneuve-lès-Avignon,Avignon
Le Prieure,Villeneuve-lès-Avignon,"Situé à 2,5 km de Villeneuve-lès-Avignon, l’établissement Le Prieure est ancien monastère transformé aujourd'hui en hôtel 5 étoiles. Il est dot..",8.6,Villeneuve-lès-Avignon,Avignon
Hôtel La Suite,Villeneuve-lès-Avignon,"Situé dans le centre-ville de Villeneuve-les-Avignon, l’Hôtel La Suite propose une piscine extérieure chauffée entourée de chaises longues et u..",8.9,Villeneuve-lès-Avignon,Avignon
Logis Hôtel Résidence Les Cèdres,Villeneuve-lès-Avignon,"Situé à seulement 3 km du centre d'Avignon, l'hôtel Les Cèdres est implanté dans une maison datant du XVIIIe siècle, dans un parc fleuri, à l'o..",8.9,Villeneuve-lès-Avignon,Avignon
La Tramontane,Les Saintes-Maries-de-la-Mer,"L'établissement La Tramontane vous accueille aux Saintes-Maries-de-la-Mer, au cœur de la Camargue. ",9.0,Les Saintes-Maries-de-la-Mer,Saintes Maries de la mer
Hôtel Casa Marina,Les Saintes-Maries-de-la-Mer,"Situé aux Saintes-Maries-de-la-Mer, à 90 mètres de la plage de l'Amphora, l'Hôtel Casa Marina propose un hébergement en bord de mer, un bar, un..",8.9,Les Saintes-Maries-de-la-Mer,Saintes Maries de la mer
Hôtel Restaurant Les Arnelles,Les Saintes-Maries-de-la-Mer,"Situé aux Saintes-Marie-de-la-Mer, au cœur du parc naturel régional de Camargue, l’établissement Les Arnelles dispose d'une piscine extérieure,..",8.4,Les Saintes-Maries-de-la-Mer,Saintes Maries de la mer
Hôtel du Pont Blanc,Les Saintes-Maries-de-la-Mer,"Situé à Saintes-Marie-de-la-Mer, l'Hôtel du Pont Blanc se trouve dans un jardin fleuri avec terrasse et piscine, à seulement 8 minutes à pied d..",8.9,Les Saintes-Maries-de-la-Mer,Saintes Maries de la mer
